,Zip Code,2017 Crime count
0,90001,51
1,90002,524
2,90003,1456
3,90004,267
4,90005,260
5,90006,469
6,90007,435
7,90008,356
8,90010,262
9,90011,744
10,90012,284
11,90013,1181
12,90014,531
13,90015,449
14,90016,425
15,90017,542
16,90018,535
17,90019,310
18,90020,144
19,90021,203
20,90023,291
21,90024,116
22,90025,291
23,90026,244
24,90027,41
25,90028,1142
26,90029,750
27,90031,344
28,90032,267
29,90033,580
30,90034,122
31,90035,226
32,90036,224
33,90037,1151
34,90038,450
35,90039,157
36,90041,88
37,90042,250
38,90043,551
39,90044,563
40,90045,227
41,90046,64
42,90047,326
43,90048,199
44,90049,17
45,90056,43
46,90057,1013
47,90058,33
48,90059,440
49,90061,411
50,90062,856
51,90063,68
52,90064,109
53,90065,138
54,90066,165
55,90067,35
56,90068,20
57,90069,63
58,90071,456
59,90077,21
60,90079,247
61,90094,98
62,90210,13
63,90211,35
64,90212,12
65,90230,73
66,90232,53
67,90245,9
68,90247,60
69,90248,28
70,90272,4
71,90291,405
72,90292,79
73,90293,42
74,90302,21
75,90304,10
76,90305,136
77,90402,44
78,90404,29
79,90405,11
80,90501,55
81,90502,47
82,90710,176
83,90717,9
84,90731,270
85,90732,372
86,90744,460
87,90745,1
88,90810,2
89,90813,3
90,91030,22
91,91040,130
92,91105,10
93,91201,12
94,91204,22
95,91205,15
96,91206,13
97,91214,19
98,91303,443
99,91304,42
100,91306,308
101,91307,8
102,91311,119
103,91316,107
104,91321,1
105,91324,322
106,91325,140
107,91326,40
108,91331,427
109,91335,434
110,91340,431
111,91342,54
112,91343,366
113,91344,184
114,91345,188
115,91352,174
116,91356,183
117,91364,64
118,91367,273
119,91401,343
120,91402,490
121,91403,120
122,91405,477
123,91406,198
124,91411,298
125,91423,126
126,91436,63
127,91504,13
128,91601,362
129,91602,123
130,91604,96
131,91605,446
132,91606,425
133,91607,191
134,91608,33
